YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1974,MT,BL,160,5,3
1974,MT,HI,360,40,11
1974,MT,HP,0,0,
1974,MT,MR,0,0,
1974,MT,WH,28685,575,2
1974,MT,total,31455,655,2
1974,NC,AI,14945,400,3
1974,NC,AS,1685,15,1
1974,NC,BL,338125,23315,7
1974,NC,HI,1365,30,2
1974,NC,HP,0,0,
1974,NC,MR,0,0,
1974,NC,WH,711920,19910,3
1974,NC,total,1068050,43670,4
1974,ND,AI,970,90,9
1974,ND,AS,110,5,5
1974,ND,BL,265,15,6
1974,ND,HI,105,5,5
1974,ND,HP,0,0,
1974,ND,MR,0,0,
1974,ND,WH,16030,585,4
1974,ND,total,17480,695,4
1974,NE,AI,760,50,7
1974,NE,AS,370,5,1
1974,NE,BL,12755,2395,19
1974,NE,HI,2425,140,6
1974,NE,HP,0,0,
1974,NE,MR,0,0,
1974,NE,WH,99560,3255,3
1974,NE,total,115865,5845,5
1974,NH,AI,0,0,
1974,NH,AS,15,0,
1974,NH,BL,0,0,
1974,NH,HI,5,0,
1974,NH,HP,0,0,
1974,NH,MR,0,0,
1974,NH,WH,3610,60,2
1974,NH,total,3635,60,2
1974,NJ,AI,310,5,2
1974,NJ,AS,3880,30,1
1974,NJ,BL,184605,13010,7
1974,NJ,HI,64665,2735,4
1974,NJ,HP,0,0,
1974,NJ,MR,0,0,
1974,NJ,WH,325430,16645,5
1974,NJ,total,578890,32425,6
1974,NM,AI,21395,575,3
1974,NM,AS,635,5,1
1974,NM,BL,5265,295,6
1974,NM,HI,80940,2955,4
1974,NM,HP,0,0,
1974,NM,MR,0,0,
1974,NM,WH,101045,2575,3
1974,NM,total,209280,6405,3
1974,NV,AI,1895,85,4
1974,NV,AS,1100,5,0
1974,NV,BL,11985,820,7
1974,NV,HI,4255,110,3
1974,NV,HP,0,0,
1974,NV,MR,0,0,
1974,NV,WH,102740,2620,3
1974,NV,total,121980,3640,3
1974,NY,AI,3435,140,4
1974,NY,AS,20300,55,0
1974,NY,BL,451435,18205,4
1974,NY,HI,281195,4720,2
1974,NY,HP,0,0,
1974,NY,MR,0,0,
1974,NY,WH,857005,24130,3
1974,NY,total,1613370,47250,3
1974,OH,AI,1145,35,3
1974,OH,AS,2655,25,1
1974,OH,BL,244430,23680,10
1974,OH,HI,13230,605,5
1974,OH,HP,0,0,
1974,OH,MR,0,0,
1974,OH,WH,673895,29295,4
1974,OH,total,935360,53640,6
1974,OK,AI,27670,370,1
1974,OK,AS,1645,15,1
1974,OK,BL,42895,4035,9
1974,OK,HI,4600,95,2
1974,OK,HP,0,0,
1974,OK,MR,0,0,
1974,OK,WH,262490,5220,2
1974,OK,total,339305,9735,3
1974,OR,AI,2065,95,5
1974,OR,AS,1925,15,1
1974,OR,BL,8160,910,11
1974,OR,HI,2740,100,4
1974,OR,HP,0,0,
1974,OR,MR,0,0,
1974,OR,WH,163450,6205,4
1974,OR,total,178335,7320,4
1974,PA,AI,550,10,2
1974,PA,AS,2515,15,1
1974,PA,BL,248195,12545,5
1974,PA,HI,20070,360,2
1974,PA,HP,0,0,
1974,PA,MR,0,0,
1974,PA,WH,644820,24305,4
1974,PA,total,916150,37230,4
1974,RI,AI,25,0,
1974,RI,AS,195,5,3
1974,RI,BL,5385,1065,20
1974,RI,HI,795,60,8
1974,RI,HP,0,0,
1974,RI,MR,0,0,
1974,RI,WH,48345,2860,6
1974,RI,total,54750,3990,7
1974,SC,AI,510,25,5
1974,SC,AS,920,5,1
1974,SC,BL,260700,25830,10
1974,SC,HI,725,35,5
1974,SC,HP,0,0,
1974,SC,MR,0,0,
1974,SC,WH,369800,20905,6
1974,SC,total,632655,46800,7
1974,SD,AI,4980,80,2
1974,SD,AS,85,0,
1974,SD,BL,100,5,5
1974,SD,HI,230,10,4
1974,SD,HP,0,0,
1974,SD,MR,0,0,
1974,SD,WH,39295,530,1
1974,SD,total,44685,625,1
1974,TN,AI,250,5,2
1974,TN,AS,870,5,1
1974,TN,BL,175930,15815,9
1974,TN,HI,600,10,2
1974,TN,HP,0,0,
1974,TN,MR,0,0,
1974,TN,WH,440475,10675,2
1974,TN,total,618125,26505,4
1974,TX,AI,2545,50,2
1974,TX,AS,5225,30,1
1974,TX,BL,407095,25140,6
1974,TX,HI,527485,13600,3
1974,TX,HP,0,0,
1974,TX,MR,0,0,
1974,TX,WH,1260480,29910,2
1974,TX,total,2202825,68730,3
1974,UT,AI,3485,110,3
1974,UT,AS,1360,10,1
1974,UT,BL,990,25,3
1974,UT,HI,8280,320,4
1974,UT,HP,0,0,
1974,UT,MR,0,0,
1974,UT,WH,220980,3860,2
1974,UT,total,235095,4335,2
1974,VA,AI,1115,20,2
1974,VA,AS,5185,45,1
1974,VA,BL,255565,23870,9
1974,VA,HI,4110,105,3
1974,VA,HP,0,0,
1974,VA,MR,0,0,
1974,VA,WH,666770,26665,4
